/home/gsnearing/projects/SACSMA-SNOW17
Using 40 cores of 40 total.
Initializing the  Dynamically Dimensioned Search (DDS) algorithm  with  100000  repetitions
The objective function will be minimized
Starting the DDS algotrithm with 100000 repetitions...
Finding best starting point for trial 1 using 500 random samples.
Initialize database...
['csv', 'hdf5', 'ram', 'sql', 'custom', 'noData']
2560 of 100000, maximal objective function=20.2644, time remaining: 07:25:08
2568 of 100000, maximal objective function=20.2644, time remaining: 07:25:05
2575 of 100000, maximal objective function=20.2644, time remaining: 07:25:21
2583 of 100000, maximal objective function=20.2656, time remaining: 07:25:20
2591 of 100000, maximal objective function=20.2656, time remaining: 07:25:18
2599 of 100000, maximal objective function=20.2656, time remaining: 07:25:15
2607 of 100000, maximal objective function=20.2656, time remaining: 07:25:12
2615 of 100000, maximal objective function=20.2656, time remaining: 07:25:09
2623 of 100000, maximal objective function=20.2656, time remaining: 07:25:06
2631 of 100000, maximal objective function=20.2656, time remaining: 07:25:03
2639 of 100000, maximal objective function=20.2675, time remaining: 07:25:01
2647 of 100000, maximal objective function=20.4072, time remaining: 07:24:59
2655 of 100000, maximal objective function=20.4075, time remaining: 07:24:56
2663 of 100000, maximal objective function=20.4075, time remaining: 07:24:53
2671 of 100000, maximal objective function=20.4075, time remaining: 07:24:51
2679 of 100000, maximal objective function=20.4075, time remaining: 07:24:49
2687 of 100000, maximal objective function=20.4075, time remaining: 07:24:46
2695 of 100000, maximal objective function=20.4075, time remaining: 07:24:43
2703 of 100000, maximal objective function=20.4075, time remaining: 07:24:42
2711 of 100000, maximal objective function=20.4075, time remaining: 07:24:39
2719 of 100000, maximal objective function=20.4075, time remaining: 07:24:37
2727 of 100000, maximal objective function=20.4075, time remaining: 07:24:34
2735 of 100000, maximal objective function=20.4075, time remaining: 07:24:31
2743 of 100000, maximal objective function=20.4075, time remaining: 07:24:28
2751 of 100000, maximal objective function=20.4075, time remaining: 07:24:25
2758 of 100000, maximal objective function=20.4075, time remaining: 07:24:34
2766 of 100000, maximal objective function=20.4075, time remaining: 07:24:32
2773 of 100000, maximal objective function=20.4075, time remaining: 07:24:33
2781 of 100000, maximal objective function=20.4075, time remaining: 07:24:33
2789 of 100000, maximal objective function=20.4075, time remaining: 07:24:31
2797 of 100000, maximal objective function=20.4424, time remaining: 07:24:28
2805 of 100000, maximal objective function=20.4445, time remaining: 07:24:27
2813 of 100000, maximal objective function=20.4445, time remaining: 07:24:25
2821 of 100000, maximal objective function=20.4445, time remaining: 07:24:22
2829 of 100000, maximal objective function=20.4445, time remaining: 07:24:19
2837 of 100000, maximal objective function=20.4445, time remaining: 07:24:16
2845 of 100000, maximal objective function=20.4445, time remaining: 07:24:13
2853 of 100000, maximal objective function=20.4445, time remaining: 07:24:11
2860 of 100000, maximal objective function=20.4445, time remaining: 07:24:12
2868 of 100000, maximal objective function=20.4445, time remaining: 07:24:11
2876 of 100000, maximal objective function=20.4445, time remaining: 07:24:08
2884 of 100000, maximal objective function=20.4445, time remaining: 07:24:05
2892 of 100000, maximal objective function=20.4445, time remaining: 07:24:03
2900 of 100000, maximal objective function=20.4445, time remaining: 07:24:01
2908 of 100000, maximal objective function=20.4445, time remaining: 07:23:58
2916 of 100000, maximal objective function=20.4445, time remaining: 07:23:55
2924 of 100000, maximal objective function=20.4445, time remaining: 07:23:52
2932 of 100000, maximal objective function=20.4445, time remaining: 07:23:49
2940 of 100000, maximal objective function=20.4445, time remaining: 07:23:46
2946 of 100000, maximal objective function=20.4445, time remaining: 07:24:00
2954 of 100000, maximal objective function=20.4445, time remaining: 07:23:58
2962 of 100000, maximal objective function=20.4445, time remaining: 07:23:55
2970 of 100000, maximal objective function=20.4445, time remaining: 07:23:52
2978 of 100000, maximal objective function=20.4448, time remaining: 07:23:50
2986 of 100000, maximal objective function=20.4448, time remaining: 07:23:48
2994 of 100000, maximal objective function=20.4448, time remaining: 07:23:47
